date	price	vol_1	vol_2
2015-03-17	53.51	240285	169324
2015-03-18	55.91	262440	157062
2015-03-19	54.43	209646	117690
2015-03-20	55.32	186667	111107
2015-03-23	55.92	191637	149714
2015-03-24	55.11	197476	117364
2015-03-25	56.48	256043	160104
2015-03-26	59.19	334870	225149
2015-03-27	56.41	223862	145151
2015-03-30	56.29	220109	133782
2015-03-31	55.11	238494	161563
2015-04-01	57.1	256904	203788
2015-04-02	54.95	288965	187638
2015-04-06	58.12	126804	90386
2015-04-07	59.1	236714	222597
2015-04-08	55.55	250564	268733
2015-04-09	56.57	174812	214867
2015-04-10	57.87	137659	206752
2015-04-13	57.93	119317	248544
2015-04-14	58.43	106803	296470
2015-04-15	60.32	21182	344269
2015-04-16	63.98	293485	118449
2015-04-17	63.45	220117	101016
2015-04-20	63.45	239802	90610
2015-04-21	62.08	218306	87067
2015-04-22	62.73	230058	89732
2015-04-23	64.85	326736	150617
2015-04-24	65.28	259489	128838
2015-04-27	64.83	189765	108441
2015-04-28	64.64	196461	93387
2015-04-29	65.84	238435	109670
2015-04-30	66.78	223481	120188
2015-05-01	66.46	189316	117793
2015-05-04	66.45	120212	63830
2015-05-05	67.52	255639	149248
2015-05-06	67.77	296738	182444
2015-05-07	65.54	292892	215495
2015-05-08	65.39	248593	194398
2015-05-11	64.91	202511	192324
2015-05-12	66.86	183265	296214
2015-05-13	66.81	120834	315582
2015-05-14	66.59	23192	247258
2015-05-15	66.81	206137	73688
2015-05-18	66.27	198219	86935
2015-05-19	64.02	253354	104255
2015-05-20	65.03	210395	77577
2015-05-21	66.54	250909	127899
2015-05-22	65.37	184554	89001
2015-05-25	65.52	41140	9446
2015-05-26	63.72	224131	96523
2015-05-27	62.06	257061	114968
2015-05-28	62.58	238590	106483
2015-05-29	65.56	278461	140491
2015-06-01	64.88	217982	133238
2015-06-02	65.49	245909	169533
2015-06-03	63.8	262656	193201
2015-06-04	62.03	235207	175573
2015-06-05	63.31	248872	161461
2015-06-08	62.69	205404	208398
2015-06-09	64.88	223355	237039
2015-06-10	65.7	210396	235649
2015-06-11	65.11	113456	193362
2015-06-12	63.87	101413	225877
2015-06-15	62.61	26681	307454
2015-06-16	63.7	279742	164249
2015-06-17	63.87	331877	178703
2015-06-18	64.26	217210	133455
2015-06-19	63.02	216169	116887
2015-06-22	63.34	216386	119614
2015-06-23	64.45	266021	136352
2015-06-24	63.49	256385	140376
2015-06-25	63.2	213751	130588
2015-06-26	63.26	212119	113379
2015-06-29	62.01	266549	154221
2015-06-30	63.59	256884	171974
2015-07-01	62.01	266621	200673
2015-07-02	62.07	206002	149013
2015-07-03	60.32	107245	63795
2015-07-06	56.54	294894	172227
2015-07-07	56.85	331586	230109
2015-07-08	57.05	301107	264126
2015-07-09	58.61	277592	264472
2015-07-10	58.73	154371	197344
2015-07-13	57.85	176870	216365
2015-07-14	58.51	143123	330179
2015-07-15	57.05	79694	274669
2015-07-16	57.51	14289	246843
2015-07-17	57.1	157126	53057
2015-07-20	56.65	161060	62425
2015-07-21	57.04	188877	84322
2015-07-22	56.13	221457	105900
2015-07-23	55.27	207129	92253
2015-07-24	54.62	195038	101459
2015-07-27	53.47	226373	128183
2015-07-28	53.3	290602	156721
2015-07-29	53.38	290427	171522
2015-07-30	53.31	217285	125935
2015-07-31	52.21	212823	121507
2015-08-03	49.52	306500	180655
2015-08-04	49.99	221652	150000
2015-08-05	49.59	280763	181691
2015-08-06	49.52	236356	176252
2015-08-07	48.61	245821	191261
2015-08-10	50.41	208257	182847
2015-08-11	49.18	223213	225226
2015-08-12	49.66	153807	264689
2015-08-13	49.22	115920	309380
2015-08-14	49.03	21365	286658
2015-08-17	48.74	195605	68465
2015-08-18	48.81	191533	82412
2015-08-19	47.16	250806	87811
2015-08-20	46.62	221543	84642
2015-08-21	45.46	231795	94546
2015-08-24	42.69	305733	111843
2015-08-25	43.21	292102	137196
2015-08-26	43.14	267561	126114
2015-08-27	47.56	333701	136397
2015-08-28	50.05	418778	154812
2015-08-31	54.15	321317	111470
2015-09-01	49.56	373639	161343
2015-09-02	50.5	324837	154918
2015-09-03	50.68	270544	157986
2015-09-04	49.61	221220	145071
2015-09-07	47.63	94800	75616
2015-09-08	49.52	253288	225772
2015-09-09	47.58	173222	170398
2015-09-10	48.89	192415	191993
2015-09-11	48.14	143408	248660
2015-09-14	46.37	104057	250979
2015-09-15	46.63	18462	268720
2015-09-16	49.75	288333	210551
2015-09-17	49.08	228857	162707
2015-09-18	47.47	225724	136214
2015-09-21	48.92	179898	112311
2015-09-22	49.08	185413	114219
2015-09-23	47.75	232269	149391
2015-09-24	48.17	198036	139411
2015-09-25	48.6	189403	116545
2015-09-28	47.34	188283	124809
2015-09-29	48.23	181413	123699
2015-09-30	48.37	219886	164061
2015-10-01	47.69	239316	151227
2015-10-02	48.13	201586	159034
2015-10-05	49.25	215447	190591
2015-10-06	51.92	303579	279671
2015-10-07	51.33	299914	323992
2015-10-08	53.05	219938	256717
2015-10-09	52.65	174338	256528
2015-10-12	49.86	166832	282586
2015-10-13	49.24	108370	338728
2015-10-14	49.15	63280	253545
2015-10-15	48.71	16785	321415
2015-10-16	50.46	225956	103747
2015-10-19	48.61	223306	88361
2015-10-20	48.71	253325	119531
2015-10-21	47.85	244638	102995
2015-10-22	48.08	201591	88713
2015-10-23	47.99	242056	105264
2015-10-26	47.54	193978	88809
2015-10-27	46.81	243114	89623
2015-10-28	49.05	306597	127630
2015-10-29	48.8	213925	84218
2015-10-30	49.56	238590	120394
2015-11-02	48.79	224283	139147
2015-11-03	50.54	283357	165568
2015-11-04	48.58	328135	204520
2015-11-05	47.98	227998	154892
2015-11-06	47.42	245485	218226
2015-11-09	47.19	202178	197570
2015-11-10	47.44	206340	246321
2015-11-11	45.81	193335	325820
2015-11-12	44.06	132491	363154
2015-11-13	43.61	28631	303947
2015-11-16	44.56	310123	141678
2015-11-17	43.57	260695	120290
2015-11-18	44.14	255682	109610
2015-11-19	44.18	201033	97553
2015-11-20	44.66	245339	121857
2015-11-23	44.83	290998	108535
2015-11-24	46.12	271930	122457
2015-11-25	46.17	229114	108227
2015-11-26	45.46	97318	37540
2015-11-27	44.86	165308	82761
2015-11-30	44.61	235944	122957
2015-12-01	44.44	301200	177602
2015-12-02	42.49	324059	178427
2015-12-03	43.84	271482	160262
2015-12-04	43	345828	208202
2015-12-07	40.73	272442	205298
2015-12-08	40.26	328376	250656
2015-12-09	40.11	284646	267927
2015-12-10	39.73	188988	230531
2015-12-11	37.93	167311	281105
2015-12-14	37.92	115119	290180
2015-12-15	38.45	73703	323789
2015-12-16	37.19	18232	297915
2015-12-17	37.06	200845	103248
2015-12-18	36.88	218042	86429
2015-12-21	36.35	175115	85935
2015-12-22	36.11	166304	92272
2015-12-23	37.36	196978	113657
2015-12-24	37.89	111015	46498
2015-12-28	36.62	84344	33597
2015-12-29	37.79	171677	97073
2015-12-30	36.46	173512	112052
2015-12-31	37.28	149598	78612
2016-01-04	37.22	321841	217739
2016-01-05	36.42	275471	223017
2016-01-06	34.23	296862	257591
2016-01-07	33.75	291511	265450
2016-01-08	33.55	206974	243815
2016-01-11	31.55	202062	258868
2016-01-12	30.86	142525	389164
2016-01-13	30.31	91957	472154
2016-01-14	31.03	16390	409375
2016-01-15	28.94	344461	185904
2016-01-18	28.55	211256	116488
2016-01-19	28.76	419479	267898
2016-01-20	27.88	375397	239406
2016-01-21	29.25	394256	277913
2016-01-22	32.18	407784	336267
2016-01-25	30.5	310139	284431
2016-01-26	31.8	335094	296405
2016-01-27	33.1	257108	339911
2016-01-28	33.89	195144	533487
2016-01-29	34.74	29658	415849
2016-02-01	34.24	331872	150695
2016-02-02	32.72	346885	163847
2016-02-03	35.04	396576	156827
2016-02-04	34.46	323933	135398
2016-02-05	34.06	296567	136275
2016-02-08	32.88	211549	99647
2016-02-09	30.32	305766	126257
2016-02-10	30.84	332987	147253
2016-02-11	30.06	347586	156192
2016-02-12	33.36	394479	184931
2016-02-15	33.39	160505	82812
2016-02-16	32.18	398492	195731
2016-02-17	34.5	355922	176548
2016-02-18	34.28	324096	189465
2016-02-19	33.01	287089	180208
2016-02-22	34.69	233332	150286
2016-02-23	33.27	348078	273730
2016-02-24	34.41	344004	259300
2016-02-25	35.29	210573	313634
2016-02-26	35.1	126420	367393
2016-02-29	35.97	30235	310672
2016-03-01	36.81	276263	144156
2016-03-02	36.93	278167	139114
2016-03-03	37.07	256490	161872
2016-03-04	38.72	295792	142255
2016-03-07	40.84	341913	162894
2016-03-08	39.65	352250	199170
2016-03-09	41.07	333486	228104
2016-03-10	40.05	287782	177176
2016-03-11	40.39	276648	181324
2016-03-14	39.53	264706	168779
2016-03-15	38.74	224361	132575
2016-03-16	40.33	263872	201672
2016-03-17	41.54	249228	175910
2016-03-18	41.2	286653	234236
2016-03-21	41.54	234102	176692
2016-03-22	41.79	268210	250947
2016-03-23	40.47	240906	207791
2016-03-24	40.44	203276	194283
2016-03-28	40.27	78614	76764
